일련번호,구분,자치구 코드,자치구 이름,마트 이름,마트 전화번호,마트 주소,마트 홈페이지,주차장 유무
268,마트,740000,강동구,롯데마켓 999 길동점,472-5604,강동구 길1동 서울시 강동구 성안로 176(길동, 길동 골드빌1차아파트),무
269,마트,740000,강동구,롯데슈퍼 둔촌점,474-5601,강동구 둔촌2동 서울시 강동구 풍성로 63길 84(둔촌동),company.lottesuper.co.kr/handler/infodesk/RentStore-Start,유
270,마트,740000,강동구,이마트에브리데이 암사점,2296-3651,강동구 암사3동 서울시 강동구 고덕로 99(암사동),www.emarteveryday.co.kr/branch/branchList.jsp,유
271,마트,740000,강동구,에브리데이리테일 명일점,3426-6155,강동구 명일1동 서울시 강동구 고덕로 210(명일동, 삼익그린맨션),유
272,마트,740000,강동구,홈플러스 익스프레스 암사점,441-0671,강동구 암사1동 서울시 강동구 고덕로 24길 50(암사동),corporate.homeplus.co.kr/Store/HyperMarket.aspx,유
273,마트,740000,강동구,홈플러스 익스프레스 성내점,475-8546,강동구 성내1동 서울시 강동구 풍성로 138(성내동),corporate.homeplus.co.kr/Store/HyperMarket.aspx,유
274,마트,740000,강동구,홈플러스 익스프레스 길동점,470-8530,강동구 길1동 서울시 강동구 양재대로 1486(길동),corporate.homeplus.co.kr/Store/HyperMarket.aspx,무
275,마트,740000,강동구,GS슈퍼마켓 둔촌점,478-2268,강동구 둔촌1동 서울시 강동구 양재대로 1330(둔촌동),gssuper.gsretail.com/branch/shop/list.aspx,유
276,마트,740000,강동구,GS슈퍼마켓 명일점,426-3708,강동구 명일1동 서울시 강동구 양재대로 1630(명일동),gssuper.gsretail.com/branch/shop/list.aspx,유
277,마트,740000,강동구,GS슈퍼마켓 암사점,426-9122,강동구 암사1동 서울시 강동구 구천면로 317(암사동),gssuper.gsretail.com/branch/shop/list.aspx,유
278,마트,740000,강동구,GS슈퍼마켓 암사캐슬점,6933-2502,강동구 암사3동 서울시 강동구 고덕로 133(암사동),gssuper.gsretail.com/branch/shop/list.aspx,유
279,마트,740000,강동구,GS슈퍼마켓 주양점,428-4162,강동구 명일2동 서울시 강동구 고덕로 62길 55(명일동),gssuper.gsretail.com/branch/shop/list.aspx,유
281,마트,530000,구로구,홈플러스테스코(주)신도림점,2618-2080,구로구 신도림동 서울시 구로구 경인로 661(신도림동),www.homeplus.co.kr,유
283,마트,530000,구로구,나인스에비뉴,6678-8000,구로구 구로5동 서울시 구로구 구로중앙로 134(구로동,신구로자이나인스에비뉴),유
284,마트,320000,도봉구,방학동 도깨비시장,954-1225,도봉구 방학2동 서울시 도봉구 도당로13다길29(방학동),,유
285,마트,320000,도봉구,창동신창시장,990-0040,도봉구 창2동 서울시 도봉구 덕릉로59가길47-6(창동),,무
286,마트,320000,도봉구,창동골목시장,010-3742-6757,도봉구 창3동 서울시 도봉구 덕릉로58길16(창동),,무
287,마트,320000,도봉구,신도봉시장,954-0604,도봉구 도봉1동 서울시 도봉구 도당로27길60(도봉동),,무
288,마트,590000,동작구,이마트 에브리데이 상도동점,823-3651,동작구 상도2동 서울시 동작구 상도로31길 19(상도동,브라운스톤상도아파트),무
289,마트,590000,동작구,이마트 에브리데이 대방동점,841-3651,동작구 대방동 서울시 동작구 상도로 81(대방동),,무
290,마트,590000,동작구,이마트 에브리데이 이수점,595-1234,동작구 사당1동 서울시 동작구 사당로 300(사당동),,무
291,마트,590000,동작구,홈플러스익스프레스 남성점,3481-8542,동작구 사당3동 서울시 동작구 사당로 215(사당동),,무
292,마트,590000,동작구,홈플러스익스프레스 상도점,826-8546,동작구 상도4동 서울시 동작구 성대로 43(상도동),,무
293,마트,590000,동작구,롯데쇼핑(주)롯데슈퍼 상도3점,812-5601,동작구 상도3동 서울시 동작구 상도로 147(상도동),,무
294,마트,590000,동작구,홈플러스익스프레스 대방점,813-8611,동작구 대방동 서울시 동작구 노량진로 4(대방동),,무
295,마트,590000,동작구,홈플러스익스프레스 상도2점,816-8546,동작구 상도2동 서울시 동작구 만양로 26 건영(아) 상가 지하(상도동,건영아파트),무
296,마트,590000,동작구,홈플러스익스프레스 상도3점,3280-8545,동작구 상도4동 서울시 동작구 상도동 216-3 롯데캐슬상가1층,,무
297,마트,590000,동작구,롯데쇼핑(주)롯데슈퍼 사당점,523-5601,동작구 사당1동 서울시 동작구 동작대로 9(사당동),,무
298,마트,590000,동작구,(주)에브리데이 사당동점,596-9584,동작구 사당2동 서울시 동작구 사당동 105-1 신동아상가,,무
299,마트,590000,동작구,(주)지에스리테일GS슈퍼 사당점,3476-2242,동작구 사당2동 서울시 동작구 동작대로 29길 119 사당우성3단지 지하101(사당동),,무
300,마트,590000,동작구,(주)농협유통 하나로마트,813-7001,동작구 흑석동 서울시 동작구 흑석동 94-1,,무
301,마트,590000,동작구,이마트 에브리데이 흑석점,814-9320,동작구 흑석동 서울시 동작구 서달로 158(흑석동),,무
302,마트,590000,동작구,영도시장,815-1561,동작구 상도2동 서울시 동작구 장승배기로10길 26(상도동),,유
303,마트,590000,동작구,강남시장,813-6231,동작구 상도1동 서울시 동작구 상도로34길 76(상도동),,무
304,마트,590000,동작구,사당시장,582-3333,동작구 사당4동 서울시 동작구 사당로 244(사당동),,유
305,마트,590000,동작구,성대시장,822-4488,동작구 상도3동 서울시 동작구 상도로 102(상도동),,유
306,마트,590000,동작구,본동인정시장,824-3762,동작구 노량진1동 서울시 동작구 매봉로 177(본동),,무
307,마트,140000,중구,롯데마트 서울역점,411-8500,중구 중림동 서울시 중구 한강대로 405 서울역(봉래동2가),,유
308,마트,140000,중구,이마트 청계천점,2290-1052,중구 황학동 서울시 중구 청계천로 400(황학동,롯데캐슬베네치아),유
309,마트,620000,관악구,GS슈퍼마켓,2039-8215,관악구 낙성대동 서울시 관악구 봉천로 576(봉천동),www.gsretail.com,무
310,마트,620000,관악구,GS슈퍼마켓,864-5656,관악구 난향동 서울시 관악구 난곡로 50(신림동),www.gsretail.com,무
311,마트,620000,관악구,홈플러스 익스프레스,872-8545,관악구 중앙동 서울시 관악구 양녕로 46(봉천동),express.homeplus.co.kr,무
312,마트,620000,관악구,홈플러스 익스프레스,3285-8561,관악구 대학동 서울시 관악구 신림로 101(신림동),express.homeplus.co.kr,무
313,마트,620000,관악구,이마트 에브리데이,3285-3651,관악구 은천동 서울시 관악구 은천로 51(봉천동),www.emarteveryday.co.kr,무
314,마트,620000,관악구,롯데마이슈퍼,522-5603,관악구 남현동 서울시 관악구 남부순환로 2074(남현동),www.lottesuper.co.kr,무
315,마트,620000,관악구,롯데마켓999,523-5691,관악구 남현동 서울시 관악구 남현길 79(남현동),www.lottesuper.co.kr,무
316,마트,620000,관악구,ns마트,877-7520,관악구 보라매동 서울시 관악구 봉천로 289, 1층 평화빌딩(봉천동),무
3,백화점,620000,용산구,아이파크몰 백화점,2012-0101,용산구 한강로동 서울시 용산구 한강대로23길 55(한강로3가),www.iparkmall.co.kr/,유
16,백화점,600000,양천구,현대백화점 목동점,2163-2233,양천구 목1동 서울시 양천구 목동동로 257(목동,www.ehyundai.com/,유
17,백화점,600000,양천구,행복한세상 목동점(하나로마트),6678-9000,양천구 목1동 서울시 양천구 목동동로 309(목동),www.haengbok.com/,유
35,백화점,600000,구로구,AK PLAZA,818-1000,구로구 구로5동 서울시 구로구 구로중앙로 152(구로동),www.akplaza.com,유
54,백화점,600000,송파구,롯데백화점 잠실점,411-5551~4,송파구 잠실3동 서울시 송파구 올림픽로 240(잠실동),www.lotteshopping.com/depart/branch/submain.jsp?branch_cd=002,유
67,백화점,600000,강북구,롯데백화점 미아점,944-2500,강북구 송중동 서울시 강북구 도봉로 62(미아동),www.lotteshopping.com/depart/branch/submain.jsp?branch_cd=024,유
82,백화점,600000,성북구,현대백화점 미아점,2117-2233,성북구 길음2동 서울시 성북구 동소문로 315(길음동),,유
114,백화점,600000,광진구,롯데백화점 스타시티점,2218-2500,광진구 자양3동 서울시 광진구 능동로 92(자양동),www.lotteshopping.com/depart/branch/map/map_028.jsp?branch_cd=028,유
124,백화점,600000,동작구,태평백화점,595-8000,동작구 사당2동 서울시 동작구 동작대로 115(사당동),www.taepyungmall.com/,유
155,백화점,600000,동대문구,롯데백화점 청량리점,958-1511~2,동대문구 청량리동 서울시 동대문구 왕산로 205(전농동),www.lotteshopping.com,유
158,백화점,600000,관악구,롯데백화점 관악점,833-2500,관악구 보라매동 서울시 관악구 봉천로 209(봉천동,store.lotteshopping.com/handler/Main-Start?subBrchCd=005&gubun=1,유
183,백화점,600000,서대문구,현대백화점 신촌점,3145-2233,서대문구 신촌동 서울시 서대문구 신촌로 83(창천동),www.ehyundai.com,유
205,백화점,600000,송파구,NC백화점 송파점,2157-5000,송파구 문정2동 서울시 송파구 문정동 517,www.ncshopping.com/,유
238,백화점,600000,강서구,NC 백화점,2667-9000,강서구 등촌3동 서울시 강서구 강서로56길 17(등촌동),http://www.ncshopping.com/ShopGuide/Gangse/floorGuide_Detail.aspx,유
239,백화점,600000,강서구,롯데쇼핑 김포스카이파크,6116-2500,강서구 방화2동 서울시 강서구 하늘길 38(방화동),http://www.lotteshopping.com/depart/branch/map/map_034.jsp?branch_cd=034,유
253,백화점,600000,서초구,신세계백화점 강남점,1588-1234,서초구 반포본동 서울시 서초구 신반포로 176(반포동),department.shinsegae.com,유
280,백화점,600000,강동구,현대백화점 천호점,2225-8704,강동구 천호2동 서울시 강동구 천호대로 1005(천호동),www.ehyundai.com/,유
282,백화점,600000,구로구,다큐브시티 백화점,2211-1000,구로구 구로5동 서울시 구로구 구로중앙로 152(구로동),www.dcubecity.com,유
